Id,transcription,normalized_transcription
0000.wav,alpha,alpha
0001.wav,the,the
0002.wav,Except in the winter when the ooze or snow or ice prevents,except in the winter when the ooze or snow or ice prevents
0003.wav,raid,raid
0004.wav,read ,read 
0005.wav,stubble,stubble
0006.wav,ate,ate
0007.wav,store,store
0008.wav,sip,sip
0009.wav,wish,wish
0010.wav,slay,slay
0011.wav,sigh,sigh
0012.wav,jagged,jagged
0013.wav,up,up
0014.wav,chair,chair
0015.wav,one,one
0016.wav,Don't ask me to carry an oily rag like that,dont ask me to carry an oily rag like that
0017.wav,rock,rock
0018.wav,double,double
0019.wav,form,form
0020.wav,We have often urged him to walk more and smoke less,we have often urged him to walk more and smoke less
0021.wav,warm,warm
0022.wav,white,white
0023.wav,giving those who observe him a pronounced feeling of the utmost respect,giving those who observe him a pronounced feeling of the utmost respect
0024.wav,car,car
0025.wav,When he speaks his voice is just a bit cracked and quivers a trifle,when he speaks his voice is just a bit cracked and quivers a trifle
0026.wav,bubble,bubble
0027.wav,born,born
0028.wav,troop,troop
0029.wav,play,play
0030.wav,Nothing is as offensive as innocence,nothing is as offensive as innocence
0031.wav,goat,goat
0032.wav,slip,slip
0033.wav,whoop,whoop
0034.wav,sticks,sticks
0035.wav,gadget,gadget
0036.wav,pat,pat
0037.wav,air,air
0038.wav,two,two
0039.wav,storm,storm
0040.wav,hear,hear
0041.wav,fair,fair
0042.wav,corn,corn
0043.wav,galore,galore
0044.wav,rocks,rocks
0045.wav,dark,dark
0046.wav,range,range
0047.wav,farm,farm
0048.wav,feed,feed
0049.wav,air,air
0050.wav,urgent,urgent
0051.wav,grow,grow
0052.wav,but he always answers Banana oil,but he always answers banana oil
0053.wav,tip,tip
0054.wav,rake,rake
0055.wav,tear ,tear 
0056.wav,ate,ate
0057.wav,steer,steer
0058.wav,I just try to do my best,i just try to do my best
0059.wav,left,left
0060.wav,We gathered shells on the beach,we gathered shells on the beach
0061.wav,knew,knew
0062.wav,for,for
0063.wav,write,write
0064.wav,Well he is nearly ninetythree years old,well he is nearly ninetythree years old
0065.wav,bat,bat
0066.wav,horn,horn
0067.wav,rate,rate
0068.wav,boot,boot
0069.wav,usually minus several buttons,usually minus several buttons
0070.wav,stick,stick
0071.wav,he slowly takes a short walk in the open air each day,he slowly takes a short walk in the open air each day
0072.wav,knew,knew
